"from","to"
"Kizim, Leonid","Solovyov, Vladimir"
"Kizim, Leonid","Viktorenko, Aleksandr"
"Kizim, Leonid","Faris, M. Achmed"
"Kizim, Leonid","Krikalev, Sergei"
"Kizim, Leonid","Shepherd, William M."
"Kizim, Leonid","Gidzenko, Yuri"
"Solovyov, Vladimir","Kizim, Leonid"
"Solovyov, Vladimir","Viktorenko, Aleksandr"
"Solovyov, Vladimir","Faris, M. Achmed"
"Solovyov, Vladimir","Krikalev, Sergei"
"Solovyov, Vladimir","Shepherd, William M."
"Solovyov, Vladimir","Gidzenko, Yuri"
"Viktorenko, Aleksandr","Kizim, Leonid"
"Viktorenko, Aleksandr","Solovyov, Vladimir"
"Viktorenko, Aleksandr","Faris, M. Achmed"
"Viktorenko, Aleksandr","Krikalev, Sergei"
"Viktorenko, Aleksandr","Shepherd, William M."
"Viktorenko, Aleksandr","Gidzenko, Yuri"
"Faris, M. Achmed","Kizim, Leonid"
"Faris, M. Achmed","Solovyov, Vladimir"
"Faris, M. Achmed","Viktorenko, Aleksandr"
"Faris, M. Achmed","Krikalev, Sergei"
"Faris, M. Achmed","Shepherd, William M."
"Faris, M. Achmed","Gidzenko, Yuri"
"Krikalev, Sergei","Kizim, Leonid"
"Krikalev, Sergei","Solovyov, Vladimir"
"Krikalev, Sergei","Viktorenko, Aleksandr"
"Krikalev, Sergei","Faris, M. Achmed"
"Krikalev, Sergei","Shepherd, William M."
"Krikalev, Sergei","Gidzenko, Yuri"
"Shepherd, William M.","Kizim, Leonid"
"Shepherd, William M.","Solovyov, Vladimir"
"Shepherd, William M.","Viktorenko, Aleksandr"
"Shepherd, William M.","Faris, M. Achmed"
"Shepherd, William M.","Krikalev, Sergei"
"Shepherd, William M.","Gidzenko, Yuri"
"Gidzenko, Yuri","Kizim, Leonid"
"Gidzenko, Yuri","Solovyov, Vladimir"
"Gidzenko, Yuri","Viktorenko, Aleksandr"
"Gidzenko, Yuri","Faris, M. Achmed"
"Gidzenko, Yuri","Krikalev, Sergei"
"Gidzenko, Yuri","Shepherd, William M."
"Volkov, Alexander","Aubakirov, Toktar"
"Volkov, Alexander","Chiao, Leroy"
"Volkov, Alexander","Sharipov, Salizhan"
"Aubakirov, Toktar","Volkov, Alexander"
"Aubakirov, Toktar","Chiao, Leroy"
"Aubakirov, Toktar","Sharipov, Salizhan"
"Chiao, Leroy","Volkov, Alexander"
"Chiao, Leroy","Aubakirov, Toktar"
"Chiao, Leroy","Sharipov, Salizhan"
"Sharipov, Salizhan","Volkov, Alexander"
"Sharipov, Salizhan","Aubakirov, Toktar"
"Sharipov, Salizhan","Chiao, Leroy"
"Viktorenko, Aleksandr","Krikalev, Sergei"
"Viktorenko, Aleksandr","Kaleri, Aleksandr"
"Viktorenko, Aleksandr","Phillips, John L."
"Krikalev, Sergei","Viktorenko, Aleksandr"
"Krikalev, Sergei","Kaleri, Aleksandr"
"Krikalev, Sergei","Phillips, John L."
"Kaleri, Aleksandr","Viktorenko, Aleksandr"
"Kaleri, Aleksandr","Krikalev, Sergei"
"Kaleri, Aleksandr","Phillips, John L."
"Phillips, John L.","Viktorenko, Aleksandr"
"Phillips, John L.","Krikalev, Sergei"
"Phillips, John L.","Kaleri, Aleksandr"
"Solovyev, Anatoly","Avdeyev, Sergei"
"Solovyev, Anatoly","McArthur, William S., Jr."
"Solovyev, Anatoly","Tokarev, Valeri"
"Avdeyev, Sergei","Solovyev, Anatoly"
"Avdeyev, Sergei","McArthur, William S., Jr."
"Avdeyev, Sergei","Tokarev, Valeri"
"McArthur, William S., Jr.","Solovyev, Anatoly"
"McArthur, William S., Jr.","Avdeyev, Sergei"
"McArthur, William S., Jr.","Tokarev, Valeri"
