"name","sex","year_of_birth","nationality","military_civilian","total_number_of_missions","total_hrs_sum","sex_color"
"Acaba, Joseph M.","male",1967,"U.S.","civilian",3,7272.23,"blue"
"Adamson, James C.","male",1946,"U.S.","military",2,334,"blue"
"Afanasyev, Viktor Mikhaylovich","male",1948,"U.S.S.R/Russia","military",4,13338.55,"blue"
"Aidyn (Aydyn) Akanovich Aimbetov","male",1972,"Kazakhstan","military",1,236.23,"blue"
"Akers, Thomas D.","male",1951,"U.S.","military",4,814,"blue"
"Aksyonov, Vladimir","male",1935,"U.S.S.R/Russia","military",2,284.18,"blue"
"Al-saud, Sultan bin Salman","male",1956,"Saudi Arabia","civilian",1,170,"blue"
"Aldrin, Edwin Eugene, Jr.","male",1930,"U.S.","military",2,289,"blue"
"Aleksandrov, Aleksandr","male",1951,"Bulgaria","military",1,47,"blue"
"Aleksandrov, Aleksandr","male",1943,"U.S.S.R/Russia","civilian",2,7434.03,"blue"
"Allen, Andrew M.","male",1955,"U.S.","military",3,904,"blue"
"Allen, Joseph P.","male",1937,"U.S.","civilian",2,314,"blue"
"Altman, Scott D.","male",1959,"U.S.","military",4,1224,"blue"
"Anders, William Alison","male",1933,"U.S.","civilian",1,147,"blue"
"Anderson, Clayton C.","male",1959,"U.S.","civilian",2,4046,"blue"
"Anderson, Michael P.","male",1959,"U.S.","military",2,593,"blue"
"Antonelli, Dominic A.","male",1967,"U.S.","military",2,579,"blue"
"Apt, Jerome","male",1949,"U.S.","civilian",4,847,"blue"
"Archambault, Lee J.","male",1960,"U.S.","military",2,639.5,"blue"
"Armstrong, Neil A.","male",1930,"U.S.","civilian",2,206,"blue"
"Arnaldo Tamayo Mendez","male",1942,"Cuba","military",1,188.71,"blue"
"Arnold, Richard R., II","male",1963,"U.S.","civilian",2,307,"blue"
"Artemyev, Oleg","male",1970,"U.S.S.R/Russia","military",2,8784,"blue"
"Artsebarsky, Anatoly","male",1956,"U.S.S.R/Russia","military",1,3471.35,"blue"
"Artyukhin, Yuri","male",1930,"U.S.S.R/Russia","military",1,377.5,"blue"
"Ashby, Jeffrey S.","male",1954,"U.S.","military",3,664,"blue"
"Atkov, Oleg","male",1949,"U.S.S.R/Russia","civilian",1,5686.82,"blue"
"Aubakirov, Toktar","male",1946,"U.S.S.R/Russia","military",1,190.2,"blue"
"Auñón-Chancellor, Serena","female",1976,"U.S.","civilian",1,4722,"pink"
"Avdeyev, Sergei","male",1956,"U.S.S.R/Russia","civilian",3,17942.23,"blue"
"Bagian, James P.","male",1952,"U.S.","civilian",2,338,"blue"
"Baker, Ellen S.","female",1953,"U.S.","civilian",3,686,"pink"
"Baker, Michael A.","male",1953,"U.S.","military",4,965,"blue"
"Balandin, Aleksandr","male",1953,"U.S.S.R/Russia","civilian",1,4297.28,"blue"
"Barratt, Michael R.","male",1959,"U.S.","civilian",2,5085,"blue"
"Barry, Daniel T.","male",1953,"U.S.","civilian",3,734,"blue"
"Bartoe, John-David Francis","male",1944,"U.S.","civilian",1,190.94,"blue"
"Baturin, Yuri","male",1949,"U.S.S.R/Russia","civilian",2,473.75,"blue"
"Baudry, Patrick","male",1946,"France","military",1,169.63,"blue"
"Bean, Alan Lavern","male",1932,"U.S.","military",2,1671.75,"blue"
"Behnken, Robert L.","male",1970,"U.S.","military",2,708,"blue"
"Bella, Ivan","male",1964,"Slovakia","military",1,190,"blue"
"Belyayev, Pavel","male",1925,"U.S.S.R/Russia","military",1,26.03,"blue"
"Berezovoy, Anatoly","male",1942,"U.S.S.R/Russia","military",1,5073.07,"blue"
"Bertalan Farkas","male",1949,"Hungry","civilian",1,188.75,"blue"
"Bjarni Tryggvason","male",1945,"Canada","civilian",1,284,"blue"
"Blaha, John E.","male",1942,"U.S.","military",5,3864,"blue"
"Bloomfield, Michael J.","male",1959,"U.S.","military",3,779,"blue"
"Bluford, Guion S., Jr.","male",1942,"U.S.","military",4,688,"blue"
"Bobko, Karol J.","male",1937,"U.S.","military",3,386,"blue"
"Boe, Eric A.","male",1964,"U.S.","military",2,687,"blue"
"Bolden, Charles F., Jr.","male",1946,"U.S.","military",4,680,"blue"
"Bondar, Roberta Lynn","female",1945,"Canada","civilian",1,193.77,"pink"
"Borisenko, Andrei","male",1964,"U.S.S.R/Russia","military",2,14324.25,"blue"
"Borman, Frank","male",1928,"U.S.","military",2,477,"blue"
"Bowen, Stephen G.","male",1964,"U.S.","military",3,970,"blue"
"Bowersox, Kenneth D.","male",1956,"U.S.","military",5,5304,"blue"
"Brady, Charles E., Jr.","male",1951,"U.S.","military",1,405,"blue"
"Brand, Vance D.","male",1931,"U.S.","civilian",4,746,"blue"
"Brandenstein, Daniel C.","male",1943,"U.S.","military",4,789,"blue"
"Bresnik, Randolph J.","male",1967,"U.S.","military",2,3587.93,"blue"
"Bridges, Roy D., Jr.","male",1943,"U.S.","military",1,190,"blue"
"Brown, Curtis L., Jr.","male",1956,"U.S.","military",6,1381,"blue"
"Brown, David M.","male",1956,"U.S.","military",1,382,"blue"
"Brown, Mark N.","male",1951,"U.S.","military",2,249,"blue"
"Buchli, James F.","male",1945,"U.S.","military",4,490,"blue"
"Buckey, Jay Clark Jr.","male",1956,"U.S.","civilian",1,382.31,"blue"
"Budarin, Nikolai","male",1953,"U.S.S.R/Russia","civilian",3,10657.42,"blue"
"Burbank, Daniel C.","male",1961,"U.S.","military",3,4534,"blue"
"Bursch, Daniel W.","male",1957,"U.S.","military",4,5448,"blue"
"Bykovsky, Valery","male",1934,"U.S.S.R/Russia","military",3,497.8,"blue"
"Cabana, Robert D.","male",1949,"U.S.","military",4,910,"blue"
"Caldwell, Tracy E.","female",1969,"U.S.","civilian",2,4526,"pink"
"Camarda, Charles J.","male",1952,"U.S.","civilian",1,333,"blue"
"Cameron, Kenneth D.","male",1949,"U.S.","military",3,561,"blue"
"Carey, Duane G.","male",1957,"U.S.","military",1,262,"blue"
"Carr, Gerald P.","male",1932,"U.S.","military",1,2017,"blue"
"Carter, Manley Lanier, Jr.","male",1947,"U.S.","military",1,120,"blue"
"Casper, John H.","male",1943,"U.S.","military",4,825,"blue"
"Cassidy, Christopher J.","male",1970,"U.S.","military",2,4744,"blue"
"Cenker, Robert Joseph","male",1948,"U.S.","civilian",1,146.42,"blue"
"Cernan, Eugene A.","male",1934,"U.S.","military",3,565,"blue"
"Chamitoff, Gregory","male",1962,"U.S.","civilian",2,4770,"blue"
"Chang-Diaz, Franklin R.","male",1950,"U.S.","civilian",7,1601,"blue"
"Chawla, Kalpana","female",1962,"U.S.","civilian",2,758,"pink"
"Cheli, Maurizio","male",1959,"Italy","military",1,377.68,"blue"
"Chen, Dong","male",1978,"China","military",1,774.5,"blue"
"Chiao, Leroy","male",1960,"U.S.","civilian",4,5503,"blue"
"Chilton, Kevin P.","male",1954,"U.S.","military",3,704,"blue"
"Chrétien, Jean-Loup","male",1938,"France","military",3,1043.32,"blue"
"Chris Hadfield","male",1959,"Canada","military",3,4191.82,"blue"
"Christer Fuglesang","male",1957,"Sweden","civilian",2,641.63,"blue"
"Clark, Laurel B.","female",1961,"U.S.","military",1,382,"pink"
"Cleave, Mary L.","female",1947,"U.S.","civilian",2,262,"pink"
"Clervoy, Jean-François","male",1958,"France","military",3,675.1,"blue"
"Clifford, Michael R.","male",1952,"U.S.","military",3,666,"blue"
"Coats, Michael L.","male",1952,"U.S.","military",3,464,"blue"
"Cockrell, Kenneth D.","male",1950,"U.S.","civilian",5,1560,"blue"
"Coleman, Catherine G.","female",1960,"U.S.","military",3,500,"pink"
"Collins, Eileen M.","female",1956,"U.S.","military",4,872,"pink"
